# Opcode handler mappings - 2244 handlers
# Format: opcode_id (decimal) | opcode_id (hex) | handler_address

   0 | 0x0000 | 0x003581e0
   1 | 0x0001 | 0x00393d50
   2 | 0x0002 | 0x00427cd0
   3 | 0x0003 | 0x003bff60
   4 | 0x0004 | 0x0035c6b0
   5 | 0x0005 | 0x0035e9b0
   6 | 0x0006 | 0x003940d0
   7 | 0x0007 | 0x0036bb10
   8 | 0x0008 | 0x003c5380
   9 | 0x0009 | 0x003bd9a0
  10 | 0x000a | 0x00383de0
  11 | 0x000b | 0x00398200
  12 | 0x000c | 0x0038bcb0
  13 | 0x000d | 0x003d89a0
  14 | 0x000e | 0x00373110
  15 | 0x000f | 0x00361ce0
  16 | 0x0010 | 0x003872c0
  17 | 0x0011 | 0x003864c0
  18 | 0x0012 | 0x003f4580
  19 | 0x0013 | 0x00386a00
  20 | 0x0014 | 0x003c4560
  21 | 0x0015 | 0x0038a890
  22 | 0x0016 | 0x003955d0
  23 | 0x0017 | 0x003c4a60
  24 | 0x0018 | 0x0035c740
  25 | 0x0019 | 0x0037d5d0
  26 | 0x001a | 0x00381df0
  27 | 0x001b | 0x003da430
  28 | 0x001c | 0x003889f0
  29 | 0x001d | 0x003d7050
  30 | 0x001e | 0x003b4400
  31 | 0x001f | 0x0038d7d0
  32 | 0x0020 | 0x003c0b00
  33 | 0x0021 | 0x003cfcc0
  34 | 0x0022 | 0x0035be30
  35 | 0x0023 | 0x003c57e0
  36 | 0x0024 | 0x003d92d0
  37 | 0x0025 | 0x00372f50
  38 | 0x0026 | 0x003756a0
  39 | 0x0027 | 0x003d9190
  40 | 0x0028 | 0x003be190
  41 | 0x0029 | 0x00379490
  42 | 0x002a | 0x0038cc70
  43 | 0x002b | 0x003eff90
  44 | 0x002c | 0x0035ba50
  45 | 0x002d | 0x00395480
  46 | 0x002e | 0x00428330
  47 | 0x002f | 0x003c4830
  48 | 0x0030 | 0x00398040
  49 | 0x0031 | 0x003ccb80
  50 | 0x0032 | 0x003886e0
  51 | 0x0033 | 0x0036d970
  52 | 0x0034 | 0x003943e0
  53 | 0x0035 | 0x003c03c0
  54 | 0x0036 | 0x00395e20
  55 | 0x0037 | 0x00388520
  56 | 0x0038 | 0x003855e0
  57 | 0x0039 | 0x003d95a0
  58 | 0x003a | 0x00435f80
  59 | 0x003b | 0x003d0120
  60 | 0x003c | 0x003bf060
  61 | 0x003d | 0x003c4ac0
  62 | 0x003e | 0x003cdd50
  63 | 0x003f | 0x003f3a30
  64 | 0x0040 | 0x003966e0
  65 | 0x0041 | 0x003707e0
  66 | 0x0042 | 0x0040d970
  67 | 0x0043 | 0x00395950
  68 | 0x0044 | 0x003890f0
  69 | 0x0045 | 0x00427fb0
  70 | 0x0046 | 0x0035cb40
  71 | 0x0047 | 0x003bf920
  72 | 0x0048 | 0x0038b000
  73 | 0x0049 | 0x003bfae0
  74 | 0x004a | 0x003d9280
  75 | 0x004b | 0x00397710
  76 | 0x004c | 0x0035d430
  77 | 0x004d | 0x0040cf40
  78 | 0x004e | 0x00358380
  79 | 0x004f | 0x0038ea30
  80 | 0x0050 | 0x0038cc00
  81 | 0x0051 | 0x00438780
  82 | 0x0052 | 0x00385c00
  83 | 0x0053 | 0x003672d0
  84 | 0x0054 | 0x00380730
  85 | 0x0055 | 0x0035d190
  86 | 0x0056 | 0x0035f900
  87 | 0x0057 | 0x003cf4e0
  88 | 0x0058 | 0x00377d10
  89 | 0x0059 | 0x0035c3c0
  90 | 0x005a | 0x0035b7f0
  91 | 0x005b | 0x00394ca0
  92 | 0x005c | 0x00438250
  93 | 0x005d | 0x003cf780
  94 | 0x005e | 0x00436260
  95 | 0x005f | 0x00391cf0
  96 | 0x0060 | 0x003df820
  97 | 0x0061 | 0x0035ccf0
  98 | 0x0062 | 0x0035b8c0
  99 | 0x0063 | 0x00383910
 100 | 0x0064 | 0x00384b60
 101 | 0x0065 | 0x0038a120
 102 | 0x0066 | 0x003db680
 103 | 0x0067 | 0x003bef70
 104 | 0x0068 | 0x003cef10
 105 | 0x0069 | 0x003a62b0
 106 | 0x006a | 0x0038f670
 107 | 0x006b | 0x00396c90
 108 | 0x006c | 0x003d8a40
 109 | 0x006d | 0x003598e0
 110 | 0x006e | 0x00382250
 111 | 0x006f | 0x003db390
 112 | 0x0070 | 0x0038ca40
 113 | 0x0071 | 0x003627f0
 114 | 0x0072 | 0x00439c70
 115 | 0x0073 | 0x003da340
 116 | 0x0074 | 0x00395170
 117 | 0x0075 | 0x00359e30
 118 | 0x0076 | 0x003d5f60
 119 | 0x0077 | 0x0035b4f0
 120 | 0x0078 | 0x003861b0
 121 | 0x0079 | 0x0037ef50
 122 | 0x007a | 0x00387bf0
 123 | 0x007b | 0x00386ca0
 124 | 0x007c | 0x00387560
 125 | 0x007d | 0x0035ce10
 126 | 0x007e | 0x003d9bd0
 127 | 0x007f | 0x00385ff0
 128 | 0x0080 | 0x0035d260
 129 | 0x0081 | 0x003833d0
 130 | 0x0082 | 0x0038e870
 131 | 0x0083 | 0x00390ef0
 132 | 0x0084 | 0x0035fed0
 133 | 0x0085 | 0x003850a0
 134 | 0x0086 | 0x00372600
 135 | 0x0087 | 0x003873a0
 136 | 0x0088 | 0x003bfff0
 137 | 0x0089 | 0x003c3fc0
 138 | 0x008a | 0x003583b0
 139 | 0x008b | 0x00387480
 140 | 0x008c | 0x003bfc60
 141 | 0x008d | 0x00399070
 142 | 0x008e | 0x003d9e00
 143 | 0x008f | 0x003c50c0
 144 | 0x0090 | 0x00393420
 145 | 0x0091 | 0x0035ee00
 146 | 0x0092 | 0x003c0c00
 147 | 0x0093 | 0x00359be0
 148 | 0x0094 | 0x0038e090
 149 | 0x0095 | 0x0038f7c0
 150 | 0x0096 | 0x0038fc90
 151 | 0x0097 | 0x00389160
 152 | 0x0098 | 0x003ce450
 153 | 0x0099 | 0x00397160
 154 | 0x009a | 0x003ec930
 155 | 0x009b | 0x003695d0
 156 | 0x009c | 0x003bc410
 157 | 0x009d | 0x0038d760
 158 | 0x009e | 0x00391970
 159 | 0x009f | 0x0035cd70
 160 | 0x00a0 | 0x003c0080
 161 | 0x00a1 | 0x00390a20
 162 | 0x00a2 | 0x00394d80
 163 | 0x00a3 | 0x0038ee20
 164 | 0x00a4 | 0x003bb750
 165 | 0x00a5 | 0x00392150
 166 | 0x00a6 | 0x0043aa00
 167 | 0x00a7 | 0x00361fe0
 168 | 0x00a8 | 0x0035a060
 169 | 0x00a9 | 0x0038baf0
 170 | 0x00aa | 0x0038e800
 171 | 0x00ab | 0x003914a0
 172 | 0x00ac | 0x0043d2f0
 173 | 0x00ad | 0x00358620
 174 | 0x00ae | 0x00382cd0
 175 | 0x00af | 0x0035f760
 176 | 0x00b0 | 0x00438850
 177 | 0x00b1 | 0x00397240
 178 | 0x00b2 | 0x0037a9c0
