handler_addr	prot_name	direction	opcode	size	current_symbol	name_source
0x000ee500	UPDATE_RUNWEIGHT	SERVER	0	2	jag::PacketHandlers::UpdateRunweight	OFFICIAL
0x0013a250	LOC_DEL	SERVER	1	2	jag::PacketHandlers::LocDel	OFFICIAL
0x001a4950	UPDATE_FRIENDLIST	SERVER	3	-2	jag::PacketHandlers::UpdateFriendlist	OFFICIAL
0x000ed200	UPDATE_STAT	SERVER	4	6	jag::game::StatTable::UpdateStat	OFFICIAL
0x00175fb0	UPDATE_STOCKMARKET_SLOT	SERVER	5	35	jag::PacketHandlers::UpdateStockmarketSlot	OFFICIAL
0x001aaed0	UPDATE_INV_FULL	SERVER	8	-2	jag::PacketHandlers::UpdateInvFull	OFFICIAL
0x000ed1c0	SERVER_REPLY	SERVER	13	-1	jag::PacketHandlers::ServerReply	OFFICIAL
0x00157e20	OBJ_DEL	SERVER	14	3	jag::PacketHandlers::ObjDel	OFFICIAL
0x00187280	IF_SETNPCHEAD	SERVER	17	8	jag::PacketHandlers::IfSetnpchead	OFFICIAL
0x00177190	FRIENDLIST_LOADED	SERVER	18	0	jag::PacketHandlers::FriendlistLoaded	OFFICIAL
0x0017ba80	DEBUG_SERVER_TRIGGERS	SERVER	19	-1	jag::PacketHandlers::DebugServerTriggers	OFFICIAL
0x00116c20	RESET_CLIENT_VARCACHE	SERVER	20	0	jag::PacketHandlers::ResetClientVarcache	OFFICIAL
0x001436e0	MESSAGE_GAME	SERVER	21	-1	jag::PacketHandlers::MessageGame	OFFICIAL
0x00116a30	VARBIT_SMALL	SERVER	22	3	jag::PacketHandlers::VarbitSmall	OFFICIAL
0x0018a3d0	IF_OPENSUB	SERVER	25	23	jag::PacketHandlers::IfOpensub	OFFICIAL
0x00149df0	MESSAGE_FRIENDCHANNEL	SERVER	26	-1	jag::PacketHandlers::MessageFriendchannel	OFFICIAL
0x00171430	CAM2_ENABLE	SERVER	27	1	jag::PacketHandlers::Cam2Enable	OFFICIAL
0x000f9df0	UPDATE_ZONE_FULL_FOLLOWS	SERVER	28	3	jag::PacketHandlers::UpdateZoneFullFollows	OFFICIAL
0x00187ec0	HINT_TRAIL	SERVER	29	-2	jag::PacketHandlers::HintTrail	OFFICIAL
0x00148b00	MESSAGE_QUICKCHAT_FRIENDCHAT	SERVER	32	-1	jag::PacketHandlers::MessageQuickchatFriendchat	OFFICIAL
0x001874e0	IF_SETTEXT	SERVER	34	-2	jag::PacketHandlers::IfSettext	OFFICIAL
0x000ef8a0	MESSAGE_QUICKCHAT_PRIVATE_ECHO	SERVER	38	-1	jag::PacketHandlers::MessageQuickchatPrivateEcho	OFFICIAL
0x00133f30	UPDATE_UID192	SERVER	39	28	jag::PacketHandlers::UpdateUid192	OFFICIAL
0x00116580	OBJ_ADD	SERVER	41	5	jag::PacketHandlers::ObjAdd	OFFICIAL
0x00185a20	UPDATE_INV_PARTIAL	SERVER	43	-2	jag::PacketHandlers::UpdateInvPartial	OFFICIAL
0x00120e50	CLANCHANNEL_DELTA	SERVER	44	-2	jag::PacketHandlers::ClanchannelDelta	OFFICIAL
0x001695c0	PLAYER_INFO	SERVER	45	-2	jag::PacketHandlers::PlayerInfo	OFFICIAL
0x00144520	RESET_ANIMS	SERVER	46	0	jag::PacketHandlers::ResetAnims	OFFICIAL
0x00139330	LOC_ADD_CHANGE	SERVER	47	7	jag::PacketHandlers::LocAddChange	OFFICIAL
0x00143500	MESSAGE_PRIVATE_ECHO	SERVER	49	-2	jag::PacketHandlers::MessagePrivateEcho	OFFICIAL
0x00133a90	MESSAGE_CLANCHANNEL_SYSTEM	SERVER	53	-1	jag::PacketHandlers::MessageClanchannelSystem	OFFICIAL
0x001567e0	CLIENT_SETVARCSTR_SMALL	SERVER	56	-1	jag::PacketHandlers::ClientSetvarcstrSmall	OFFICIAL
0x000ef310	LOGOUT	SERVER	58	1	jag::PacketHandlers::Logout	OFFICIAL
0x001490f0	MESSAGE_QUICKCHAT_PRIVATE	SERVER	59	-1	jag::PacketHandlers::MessageQuickchatPrivate	OFFICIAL
0x001e0b20	IF_OPENSUB_ACTIVE_OBJ	SERVER	60	29	jag::PacketHandlers::IfOpensubActiveObj	OFFICIAL
0x00140e50	SET_PLAYER_OP	SERVER	61	-1	jag::PacketHandlers::SetPlayerOp	OFFICIAL
0x0019a040	UPDATE_FRIENDCHAT_CHANNEL_FULL	SERVER	63	-2	jag::PacketHandlers::UpdateFriendchatChannelFull	OFFICIAL
0x001e1210	REBUILD_NORMAL	SERVER	64	-2	jag::PacketHandlers::RebuildNormal	OFFICIAL
0x00175c00	MINIMAP_TOGGLE	SERVER	65	1	jag::PacketHandlers::MinimapToggle	OFFICIAL
0x00197dd0	UPDATE_IGNORELIST	SERVER	66	-2	jag::PacketHandlers::UpdateIgnorelist	OFFICIAL
0x0016a910	SPOTANIM_SPECIFIC	SERVER	67	12	jag::PacketHandlers::SpotanimSpecific	OFFICIAL
0x001a1de0	UPDATE_FRIENDCHAT_CHANNEL_SINGLEUSER	SERVER	72	-1	jag::PacketHandlers::UpdateFriendchatChannelSingleuser	OFFICIAL
0x00186c70	IF_OPENTOP	SERVER	73	19	jag::PacketHandlers::IfOpentop	OFFICIAL
0x00177130	CHAT_FILTER_SETTINGS_PRIVATECHAT	SERVER	74	1	jag::PacketHandlers::ChatFilterSettingsPrivatechat	OFFICIAL
0x0014a470	MESSAGE_PRIVATE	SERVER	75	-2	jag::PacketHandlers::MessagePrivate	OFFICIAL
0x0011ddb0	LAST_LOGIN_INFO	SERVER	77	4	jag::PacketHandlers::LastLoginInfo	OFFICIAL
0x00121810	VARCLAN	SERVER	80	-1	jag::PacketHandlers::Varclan	OFFICIAL
0x001855d0	HINT_ARROW	SERVER	83	14	jag::PacketHandlers::HintArrow	OFFICIAL
0x00149700	MESSAGE_CLANCHANNEL	SERVER	84	-1	jag::PacketHandlers::MessageClanchannel	OFFICIAL
0x0011bcd0	CLANCHANNEL_FULL	SERVER	85	-2	jag::PacketHandlers::ClanchannelFull	OFFICIAL
0x00120a10	CLANSETTINGS_DELTA	SERVER	86	-2	jag::PacketHandlers::ClansettingsDelta	OFFICIAL
0x00186c30	TRIGGER_ONDIALOGABORT	SERVER	87	0	jag::PacketHandlers::TriggerOndialogabort	OFFICIAL
0x00153b00	CAM_REMOVEROOF	SERVER	89	4	jag::PacketHandlers::CamRemoveroof	OFFICIAL
0x000ee590	UPDATE_RUNENERGY	SERVER	92	1	jag::PacketHandlers::UpdateRunenergy	OFFICIAL
0x001e4fe0	REBUILD_REGION	SERVER	93	-2	jag::PacketHandlers::RebuildRegion	OFFICIAL
0x0017b960	SET_MOVEACTION	SERVER	94	-1	jag::PacketHandlers::SetMoveaction	OFFICIAL
0x001566c0	CLIENT_SETVARCSTR_LARGE	SERVER	96	-2	jag::PacketHandlers::ClientSetvarcstrLarge	OFFICIAL
0x000ef4a0	CLANSETTINGS_FULL	SERVER	97	-2	jag::PacketHandlers::ClansettingsFull	OFFICIAL
0x001e0de0	IF_OPENSUB_ACTIVE_LOC	SERVER	98	32	jag::PacketHandlers::IfOpensubActiveLoc	OFFICIAL
0x00146ab0	CAM_SMOOTHRESET	SERVER	99	0	jag::PacketHandlers::CamSmoothreset	OFFICIAL
0x001244a0	LOGOUT_FULL	SERVER	102	1	jag::PacketHandlers::LogoutFull	OFFICIAL
0x001713e0	CAM_RESET	SERVER	106	0	jag::PacketHandlers::CamReset	OFFICIAL
0x000ecf10	UPDATE_ZONE_PARTIAL_ENCLOSED	SERVER	109	-2	jag::PacketHandlers::UpdateZonePartialEnclosed	OFFICIAL
0x001774c0	UPDATE_REBOOT_TIMER	SERVER	110	2	jag::PacketHandlers::UpdateRebootTimer	OFFICIAL
0x000eb370	VORBIS_SPEECH_SOUND	SERVER	114	8	jag::PacketHandlers::VorbisSpeechSound	OFFICIAL
0x000f3df0	VARCLAN_ENABLE	SERVER	116	0	jag::PacketHandlers::VarclanEnable	OFFICIAL
0x000ed440	VARCLAN_DISABLE	SERVER	120	0	jag::PacketHandlers::VarclanDisable	OFFICIAL
0x00187660	IF_SETEVENTS	SERVER	122	12	jag::PacketHandlers::IfSetevents	OFFICIAL
0x00154590	CAMERA_UPDATE	SERVER	123	-2	jag::PacketHandlers::CameraUpdate	OFFICIAL
0x000ed0b0	UPDATE_ZONE_PARTIAL_FOLLOWS	SERVER	126	3	jag::PacketHandlers::UpdateZonePartialFollows	OFFICIAL
0x000eaa00	MIDI_SONG	SERVER	128	4	jag::PacketHandlers::MidiSong	OFFICIAL
0x001219c0	PLAYER_GROUP_DELTA	SERVER	129	-2	jag::PacketHandlers::PlayerGroupDelta	OFFICIAL
0x000ead70	VORBIS_SOUND_GROUP_START	SERVER	130	2	jag::PacketHandlers::VorbisSoundGroupStart	OFFICIAL
0x000f0e20	PROJANIM_SPECIFIC_ALT	SERVER	131	33	jag::PacketHandlers::ProjanimSpecificAlt	ASSIGNED
0x000f1f80	MAP_PROJANIM	SERVER	132	20	jag::PacketHandlers::MapProjanim	OFFICIAL
0x0016a340	SPOTANIM_SPECIFIC_ALT	SERVER	133	15	jag::PacketHandlers::SpotanimSpecificAlt	ASSIGNED
0x000edf30	UPDATE_DOB	SERVER	135	4	jag::PacketHandlers::UpdateDob	OFFICIAL
0x0017d970	CHANGE_LOBBY	SERVER	136	-1	jag::PacketHandlers::ChangeLobby	OFFICIAL
0x00183760	MISC_NEW_946	SERVER	138	8	jag::PacketHandlers::MiscNew946	OFFICIAL
0x001b84e0	DO_CHEAT	SERVER	142	-1	jag::PacketHandlers::DoCheat	OFFICIAL
0x001a9870	LOGOUT_TRANSFER	SERVER	143	-1	jag::PacketHandlers::LogoutTransfer	OFFICIAL
0x00175d50	CREATE_SUGGEST_NAME_ERROR	SERVER	145	1	jag::PacketHandlers::CreateSuggestNameError	OFFICIAL
0x0017b8c0	CREATE_SUGGEST_NAME_REPLY	SERVER	146	-1	jag::PacketHandlers::CreateSuggestNameReply	OFFICIAL
0x00175ab0	SETDRAWORDER	SERVER	151	1	jag::PacketHandlers::Setdraworder	OFFICIAL
0x0015c370	PLAYER_GROUP_FULL	SERVER	154	-2	jag::PacketHandlers::PlayerGroupFull	OFFICIAL
0x001161d0	OBJ_REVEAL	SERVER	157	7	jag::PacketHandlers::ObjReveal	OFFICIAL
0x000f0c40	SOUND_AREA	SERVER	160	10	jag::PacketHandlers::SoundArea	OFFICIAL
0x000f1560	MAP_PROJANIM_HALFSQ_ALT	SERVER	163	29	jag::PacketHandlers::MapProjanimHalfsqAlt	ASSIGNED
0x000efc60	VORBIS_SOUND_GROUP	SERVER	166	12	jag::PacketHandlers::VorbisSoundGroup	OFFICIAL
0x000f1c50	MAP_PROJANIM_HALFSQ	SERVER	168	21	jag::PacketHandlers::MapProjanimHalfsq	OFFICIAL
0x000eca30	LOC_PREFETCH	SERVER	169	5	jag::PacketHandlers::LocPrefetch	OFFICIAL
0x00194240	WORLDLIST_FETCH_REPLY	SERVER	172	-2	jag::PacketHandlers::WorldlistFetchReply	OFFICIAL
0x0016b2e0	MAP_ANIM	SERVER	173	11	jag::PacketHandlers::MapAnim	OFFICIAL
0x0013a970	UNNAMED_1	SERVER	176	-1	jag::PacketHandlers::Unnamed1	OFFICIAL
0x00175e80	CREATE_ACCOUNT_REPLY	SERVER	178	1	jag::PacketHandlers::CreateAccountReply	OFFICIAL
0x000f22e0	SERVER_TICK_END	SERVER	180	0	jag::PacketHandlers::ServerTickEnd	OFFICIAL
0x0017db90	NPC_SAY_SPECIFIC	SERVER	181	-2	jag::PacketHandlers::NpcSaySpecific	OFFICIAL
0x0012a040	TEXT_COORD	SERVER	182	-1	jag::PacketHandlers::TextCoord	OFFICIAL
