direction,opcode,size,entry_addr,handler_addr,handler_name,handler_source,name,name_src
SERVER,0,2,0x01470720,0x000ee500,jag::PacketHandlers::UpdateRunweight,BINDER,UPDATE_RUNWEIGHT,KNOWN
SERVER,1,2,0x014719a0,0x0013a250,jag::PacketHandlers::LocDel,BINDER,LOC_DEL,KNOWN
SERVER,2,10,0x01455300,0x00188140,jag::PacketHandlers::SetInteractionTarget,BINDER,UNKNOWN_2,NONE
SERVER,3,-2,0x014552c0,0x001a4950,jag::PacketHandlers::UpdateFriendlist,BINDER,UPDATE_FRIENDLIST,KNOWN
SERVER,4,6,0x01470ba0,0x000ed200,jag::game::StatTable::UpdateStat,BINDER,UPDATE_STAT,KNOWN
SERVER,5,35,0x01455280,0x00175fb0,jag::PacketHandlers::UpdateStockmarketSlot,BINDER,UPDATE_STOCKMARKET_SLOT,KNOWN
SERVER,6,3,0x01470e60,0x00116750,FUN_00116750,BINDER,UNKNOWN_6,NONE
SERVER,7,8,0x014700a0,0x00196cc0,FUN_00196cc0,BINDER,UNKNOWN_7,NONE
SERVER,8,-2,0x01455240,0x001aaed0,jag::PacketHandlers::UpdateInvFull,BINDER,UPDATE_INV_FULL,KNOWN
SERVER,9,-1,0x01455200,0x00148400,FUN_00148400,BINDER,UNKNOWN_9,NONE
SERVER,10,3,0x014551c0,0x00176310,FUN_00176310,BINDER,UNKNOWN_10,NONE
SERVER,11,-2,0x01455180,0x000f75d0,FUN_000f75d0,BINDER,UNKNOWN_11,NONE
SERVER,12,4,0x014715a0,0x001579f0,jag::PacketHandlers::ObjDelBig,BINDER,UNKNOWN_12,NONE
SERVER,13,-1,0x01455140,0x000ed1c0,jag::PacketHandlers::ServerReply,BINDER,SERVER_REPLY,KNOWN
SERVER,14,3,0x01471620,0x00157e20,jag::PacketHandlers::ObjDel,BINDER,OBJ_DEL,KNOWN
SERVER,15,10,0x01455100,0x000eff00,FUN_000eff00,BINDER,UNKNOWN_15,NONE
SERVER,16,5,0x014550c0,0x0011e1b0,FUN_0011e1b0,BINDER,UNKNOWN_16,NONE
SERVER,17,8,0x0146fee0,0x00187280,jag::PacketHandlers::IfSetnpchead,BINDER,IF_SETNPCHEAD,KNOWN
SERVER,18,0,0x01455080,0x00177190,jag::PacketHandlers::FriendlistLoaded,BINDER,FRIENDLIST_LOADED,KNOWN
SERVER,19,-1,0x01455040,0x0017ba80,jag::PacketHandlers::DebugServerTriggers,BINDER,DEBUG_SERVER_TRIGGERS,KNOWN
SERVER,20,0,0x01470fe0,0x00116c20,jag::PacketHandlers::ResetClientVarcache,BINDER,RESET_CLIENT_VARCACHE,KNOWN
SERVER,21,-1,0x01455000,0x001436e0,jag::PacketHandlers::MessageGame,BINDER,MESSAGE_GAME,KNOWN
SERVER,22,3,0x01470ee0,0x00116a30,jag::PacketHandlers::VarbitSmall,BINDER,VARBIT_SMALL,KNOWN
SERVER,23,-1,0x01471a20,0x0013cce0,thunk_FUN_0013ade0,BINDER,UNKNOWN_23,NONE
SERVER,24,4,0x0146fea0,0x00187230,FUN_00187230,BINDER,UNKNOWN_24,NONE
SERVER,25,23,0x014703a0,0x0018a3d0,jag::PacketHandlers::IfOpensub,BINDER,IF_OPENSUB,KNOWN
SERVER,26,-1,0x01454fc0,0x00149df0,jag::PacketHandlers::MessageFriendchannel,BINDER,MESSAGE_FRIENDCHANNEL,KNOWN
SERVER,27,1,0x01454f80,0x00171430,jag::PacketHandlers::Cam2Enable,BINDER,CAM2_ENABLE,KNOWN
SERVER,28,3,0x01471b20,0x000f9df0,jag::PacketHandlers::UpdateZoneFullFollows,BINDER,UPDATE_ZONE_FULL_FOLLOWS,KNOWN
SERVER,29,-2,0x01454f40,0x00187ec0,jag::PacketHandlers::HintTrail,BINDER,HINT_TRAIL,KNOWN
SERVER,30,8,0x0146fca0,0x00196ba0,FUN_00196ba0,BINDER,UNKNOWN_30,NONE
SERVER,31,10,0x01454f00,0x000efda0,FUN_000efda0,BINDER,UNKNOWN_31,NONE
SERVER,32,-1,0x01454ec0,0x00148b00,jag::PacketHandlers::MessageQuickchatFriendchat,BINDER,MESSAGE_QUICKCHAT_FRIENDCHAT,KNOWN
SERVER,33,-1,0x01454e80,0x000efa20,jag::packethandlers::Chat::MESSAGE_FRIENDCHANNEL,BINDER,UNKNOWN_33,NONE
SERVER,34,-2,0x01470120,0x001874e0,jag::PacketHandlers::IfSettext,BINDER,IF_SETTEXT,KNOWN
SERVER,35,19,0x01454e40,0x000f2320,FUN_000f2320,BINDER,UNKNOWN_35,NONE
SERVER,36,10,0x0146fda0,0x00186fc0,FUN_00186fc0,BINDER,UNKNOWN_36,NONE
SERVER,37,5,0x01454e00,0x0011e340,FUN_0011e340,BINDER,UNKNOWN_37,NONE
SERVER,38,-1,0x01454dc0,0x000ef8a0,jag::PacketHandlers::MessageQuickchatPrivateEcho,BINDER,MESSAGE_QUICKCHAT_PRIVATE_ECHO,KNOWN
SERVER,39,28,0x014706e0,0x00133f30,jag::PacketHandlers::UpdateUid192,BINDER,UPDATE_UID192,KNOWN
SERVER,40,6,0x01470e20,0x00116690,FUN_00116690,BINDER,UNKNOWN_40,NONE
SERVER,41,5,0x01471720,0x00116580,jag::PacketHandlers::ObjAdd,BINDER,OBJ_ADD,KNOWN
SERVER,42,6,0x01454d80,0x000efa30,FUN_000efa30,BINDER,UNKNOWN_42,NONE
SERVER,43,-2,0x01454d40,0x00185a20,jag::PacketHandlers::UpdateInvPartial,BINDER,UPDATE_INV_PARTIAL,KNOWN
SERVER,44,-2,0x01454d00,0x00120e50,jag::PacketHandlers::ClanchannelDelta,BINDER,CLANCHANNEL_DELTA,KNOWN
SERVER,45,-2,0x01470820,0x001695c0,jag::PacketHandlers::PlayerInfo,BINDER,PLAYER_INFO,KNOWN
SERVER,46,0,0x01454cc0,0x00144520,jag::PacketHandlers::ResetAnims,BINDER,RESET_ANIMS,KNOWN
SERVER,47,7,0x01471920,0x00139330,jag::PacketHandlers::LocAddChange,BINDER,LOC_ADD_CHANGE,KNOWN
SERVER,48,25,0x01470360,0x00187cf0,FUN_00187cf0,BINDER,UNKNOWN_48,NONE
