direction,opcode,size,name
SERVER,0,4,LAST_LOGIN_INFO
SERVER,1,19,IF_OPENTOP
SERVER,2,3,UPDATE_ZONE_FULL_FOLLOWS
SERVER,3,-2,UPDATE_FRIENDLIST
SERVER,4,6,VARP_LARGE
SERVER,5,-2,REBUILD_REGION
SERVER,6,1,CAM2_ENABLE
SERVER,7,2,UPDATE_RUNWEIGHT
SERVER,8,-1,VARCLAN
SERVER,9,-2,UPDATE_INV_FULL
SERVER,10,-2,UPDATE_IGNORELIST
SERVER,11,-1,LOC_ANIM
SERVER,12,-1,DEBUG_SERVER_TRIGGERS
SERVER,13,25,IF_OPENSUB_ACTIVE_PLAYER
SERVER,14,11,MAP_ANIM
SERVER,15,-2,MESSAGE_PRIVATE_ECHO
SERVER,16,6,IF_SETSCROLLPOS
SERVER,17,25,UNKNOWN_17
SERVER,18,-2,CAMERA_UPDATE
SERVER,19,10,UNKNOWN_19
SERVER,20,3,UPDATE_INV_STOP_TRANSMIT
SERVER,21,1,UPDATE_RUNENERGY
SERVER,22,-1,MESSAGE_CLANCHANNEL
SERVER,23,0,RESET_CLIENT_VARCACHE
SERVER,24,12,IF_SETEVENTS
SERVER,25,8,IF_SETNPCHEAD
SERVER,26,2,LOC_DEL
SERVER,27,6,CAM_SHAKE
SERVER,28,3,VARBIT_SMALL
SERVER,29,-2,UPDATE_FRIENDCHAT_CHANNEL_FULL
SERVER,30,-1,CLIENT_SETVARCSTR_SMALL
SERVER,31,2,UPDATE_REBOOT_TIMER
SERVER,32,1,MINIMAP_TOGGLE
SERVER,33,-1,MESSAGE_GAME
SERVER,34,-1,UPDATE_FRIENDCHAT_CHANNEL_SINGLEUSER
SERVER,35,-2,RUNCLIENTSCRIPT
SERVER,36,-2,PLAYER_INFO
SERVER,37,10,IF_SETPLAYERMODEL_OTHER
SERVER,38,4,IF_SETPLAYERHEAD
SERVER,39,8,UNKNOWN_39
SERVER,40,1,CHAT_FILTER_SETTINGS_PRIVATECHAT
SERVER,41,8,UNKNOWN_41
SERVER,42,25,IF_OPENSUB_ACTIVE_NPC
SERVER,43,-1,MESSAGE_QUICKCHAT_PRIVATE
SERVER,44,8,VORBIS_SPEECH_SOUND
SERVER,45,8,IF_MOVESUB
SERVER,46,1,LOGOUT
SERVER,47,8,IF_SETANIM
SERVER,48,3,CLIENT_SETVARCBIT_SMALL
SERVER,49,-2,UPDATE_ZONE_PARTIAL_ENCLOSED
SERVER,50,-2,UPDATE_INV_PARTIAL
SERVER,51,6,OBJ_ADD
SERVER,52,6,CAM_LOOKAT
SERVER,53,4,CAM_REMOVEROOF
SERVER,54,10,UNKNOWN_54
SERVER,55,-1,MESSAGE_QUICKCHAT_PRIVATE_ECHO
SERVER,56,4,CAM_FORCEANGLE
SERVER,57,-2,UNKNOWN_57
SERVER,58,-2,HINT_TRAIL
SERVER,59,10,IF_SETPLAYERHEAD_OTHER
SERVER,60,-1,MESSAGE_FRIENDCHANNEL
SERVER,61,-2,CLANCHANNEL_DELTA
SERVER,62,2,UNKNOWN_62
SERVER,63,-2,REBUILD_NORMAL
SERVER,64,-2,CLANCHANNEL_FULL
SERVER,65,8,IF_SETMODEL
SERVER,66,-2,CLANSETTINGS_FULL
SERVER,67,5,IF_SETHIDE
SERVER,68,10,IF_SETANGLE
SERVER,69,4,IF_CLOSESUB
SERVER,70,8,OBJ_COUNT
SERVER,71,10,IF_SETTARGETPARAM
SERVER,72,0,CAM_RESET
SERVER,73,1,LOGOUT_FULL
SERVER,74,-1,UNKNOWN_74
SERVER,75,7,LOC_ADD_CHANGE
SERVER,76,0,UNKNOWN_76
SERVER,77,-1,UNKNOWN_77
SERVER,78,-2,MESSAGE_PRIVATE
SERVER,79,3,VARP_SMALL
SERVER,80,-2,NPC_INFO
SERVER,81,-2,CLIENT_SETVARCSTR_LARGE
SERVER,82,6,VARBIT_LARGE
SERVER,83,6,IF_SETCOLOUR
SERVER,84,36,UPDATE_STOCKMARKET_SLOT
SERVER,85,5,UNKNOWN_85
SERVER,86,-2,UNKNOWN_86
SERVER,87,6,CLIENT_SETVARCBIT_LARGE
SERVER,88,-1,SERVER_REPLY
SERVER,89,-1,UNKNOWN_89
SERVER,90,6,CAM_MOVETO
SERVER,91,30,IF_OPENSUB_ACTIVE_OBJ
SERVER,92,6,UPDATE_STAT
SERVER,93,0,FRIENDLIST_LOADED
SERVER,94,19,NPC_ANIM_SPECIFIC
SERVER,95,11,UNKNOWN_95
SERVER,96,3,UPDATE_ZONE_PARTIAL_FOLLOWS
SERVER,97,10,UNKNOWN_97
SERVER,98,14,HINT_ARROW
SERVER,99,-1,SET_PLAYER_OP
SERVER,100,23,IF_OPENSUB
SERVER,101,4,IF_SETPLAYERMODEL_SELF
SERVER,102,11,IF_SETOBJECT
SERVER,103,28,UPDATE_UID192
SERVER,104,-1,LOC_CUSTOMISE
SERVER,105,5,UNKNOWN_105
SERVER,106,0,CAM_SMOOTHRESET
SERVER,107,5,UNKNOWN_107
SERVER,108,0,VARCLAN_ENABLE
SERVER,109,4,OBJ_DEL
SERVER,110,10,SET_INTERACTION_TARGET
SERVER,111,32,IF_OPENSUB_ACTIVE_LOC
SERVER,112,0,VARCLAN_DISABLE
SERVER,113,0,RESET_ANIMS
SERVER,114,20,MAP_PROJANIM
SERVER,115,-2,IF_SETTEXT
SERVER,116,-1,UNKNOWN_116
SERVER,117,12,SPOTANIM_SPECIFIC
SERVER,118,10,UNKNOWN_118
SERVER,119,6,CLIENT_SETVARC_LARGE
SERVER,120,-1,MESSAGE_QUICKCHAT_FRIENDCHAT
SERVER,121,-1,MESSAGE_CLANCHANNEL_SYSTEM
SERVER,122,8,UNKNOWN_122
SERVER,123,-1,SET_MOVEACTION
SERVER,124,0,TRIGGER_ONDIALOGABORT
SERVER,125,-2,CLANSETTINGS_DELTA
SERVER,126,3,CLIENT_SETVARC_SMALL
SERVER,127,8,IF_SETPOSITION
SERVER,128,1,UNKNOWN_128
SERVER,129,-2,WORLDLIST_FETCH_REPLY
SERVER,130,-2,TELEMETRY_GRID_VALUES_DELTA
SERVER,131,0,UNKNOWN_131
SERVER,132,2,VORBIS_PRELOAD_SOUND_GROUP
SERVER,133,4,UPDATE_DOB
SERVER,134,-1,CREATE_SUGGEST_NAME_REPLY
SERVER,135,-1,UNKNOWN_135
SERVER,136,0,STORE_SERVERPERM_VARCS_ACK
SERVER,137,1,UNKNOWN_137
SERVER,138,6,TELEMETRY_GRID_ADD_COLUMN
SERVER,139,2,UNKNOWN_139
SERVER,140,-2,PLAYER_GROUP_VARPS
SERVER,141,8,UNKNOWN_141
SERVER,142,-2,NPC_SAY_SPECIFIC
SERVER,143,12,VORBIS_SOUND_GROUP
SERVER,144,-1,TEXT_COORD
SERVER,145,3,SET_TARGET
SERVER,146,2,VORBIS_SOUND_GROUP_START
SERVER,147,-1,DO_CHEAT
SERVER,148,-1,LOGOUT_TRANSFER
SERVER,149,2,VORBIS_SOUND_GROUP_STOP
SERVER,150,9,IF_SETRECOL
SERVER,151,2,UNKNOWN_151
SERVER,152,5,UNKNOWN_152
SERVER,153,4,JCOINS_UPDATE
SERVER,154,21,MAP_PROJANIM_HALFSQ
SERVER,155,4,MIDI_SONG
SERVER,156,1,CREATE_ACCOUNT_REPLY
SERVER,157,3,TELEMETRY_GRID_SET_ROW_PINNED
SERVER,158,14,UNKNOWN_158
SERVER,159,-1,UNKNOWN_159
SERVER,160,0,SERVER_TICK_END
SERVER,161,0,UNKNOWN_161
SERVER,162,-2,UNKNOWN_162
SERVER,163,-2,UNKNOWN_163
SERVER,164,10,SOUND_AREA
SERVER,165,10,VARP_LONG
SERVER,166,-2,UNKNOWN_166
SERVER,167,5,POINTLIGHT_INTENSITYSCALE
SERVER,168,9,IF_SETRETEX
SERVER,169,28,MAP_PROJANIM_ALT
SERVER,170,-1,UNKNOWN_170
SERVER,171,17,PLAYER_ANIM_SPECIFIC
SERVER,172,-2,UNKNOWN_172
SERVER,173,15,IF_SETOBJECT_LONG
SERVER,174,3,TELEMETRY_GRID_MOVE_COLUMN
SERVER,175,-1,MESSAGE_PLAYER_GROUP
SERVER,176,5,TELEMETRY_GRID_ADD_GROUP
SERVER,177,-2,UNKNOWN_177
SERVER,178,1,UNKNOWN_178
SERVER,179,4,VORBIS_PRELOAD_SOUNDS
SERVER,180,3,POINTLIGHT_EXTEND_ABOVE
SERVER,181,5,LOC_PREFETCH
SERVER,182,1,CLEAR_PLAYER_SNAPSHOT
SERVER,183,0,LOBBY_TICK_END
SERVER,184,1,CREATE_SUGGEST_NAME_ERROR
SERVER,185,-2,TELEMETRY_GRID_FULL
SERVER,186,3,POINTLIGHT_ENABLED
SERVER,187,8,UNKNOWN_187
SERVER,188,14,MAP_ANIM_ALT
SERVER,189,3,TELEMETRY_GRID_MOVE_ROW
SERVER,190,8,SEND_PING
SERVER,191,6,TELEMETRY_GRID_ADD_ROW
SERVER,192,1,SETDRAWORDER
SERVER,193,3,TELEMETRY_CLEAR_GRID_VALUE
SERVER,194,1,UNKNOWN_194
SERVER,195,1,REDUCE_NPC_ATTACK_PRIORITY
SERVER,196,29,MAP_PROJANIM_HALFSQ_ALT
SERVER,197,15,SPOTANIM_SPECIFIC_ALT
SERVER,198,33,PROJANIM_SPECIFIC_ALT
SERVER,199,-1,MESSAGE_QUICKCHAT_PLAYER_GROUP
SERVER,200,10,CLIENT_SETVARC_LONG
SERVER,201,4,POINTLIGHT_ATTENUATION_FALLOFF
SERVER,202,0,JS5_RELOAD
SERVER,203,3,POINTLIGHT_EXTEND_BELOW
SERVER,204,-1,CHANGE_LOBBY
SERVER,205,2,CUTSCENE2D_PLAY
SERVER,206,3,POINTLIGHT_SHADOW
SERVER,207,5,IF_SETPLAYERMODEL_SNAPSHOT
SERVER,208,-2,UNKNOWN_208
SERVER,209,-1,UNKNOWN_209
SERVER,210,-2,PLAYER_GROUP_FULL
SERVER,211,4,UNKNOWN_211
SERVER,212,9,UNKNOWN_212
SERVER,213,5,IF_SETPLAYERHEAD_SNAPSHOT
SERVER,214,0,UNKNOWN_214
SERVER,215,6,SOUND_MIXBUSS_SETLEVEL
SERVER,216,14,UNKNOWN_216
SERVER,217,6,SOUND_MIXBUSS_ADD
SERVER,218,2,UNKNOWN_218
SERVER,219,4,LOYALTY_UPDATE
SERVER,220,-2,DBFILTER_DEBUG
SERVER,221,1,UNKNOWN_221
SERVER,222,-2,PLAYER_GROUP_DELTA
CLIENT,0,-1,UNKNOWN_0
CLIENT,1,-1,UNKNOWN_1
CLIENT,2,4,EVENT_CAMERA_POSITION
CLIENT,3,-1,UNKNOWN_3
CLIENT,4,-1,FRIENDLIST_ADD
CLIENT,5,0,MAP_BUILD_COMPLETE
CLIENT,6,-1,UNKNOWN_6
CLIENT,7,4,UNKNOWN_7
CLIENT,8,-2,UNKNOWN_8
CLIENT,9,6,WINDOW_STATUS
CLIENT,10,2,UNKNOWN_10
CLIENT,11,0,CLOSE_MODAL
CLIENT,12,18,IF_BUTTOND
CLIENT,13,3,OPNPC5
CLIENT,14,-2,STORE_SERVERPERM_VARCS
CLIENT,15,22,UNKNOWN_15
CLIENT,16,3,UNKNOWN_16
CLIENT,17,-1,UNKNOWN_17
CLIENT,18,9,IF_BUTTON1
CLIENT,19,12,OPNPCT
CLIENT,20,3,OPPLAYER1
CLIENT,21,-2,UNKNOWN_21
CLIENT,22,8,OPOBJ3
CLIENT,23,-1,CLIENT_CHEAT
CLIENT,24,9,OPLOC3
CLIENT,25,-2,EVENT_KEYBOARD
CLIENT,26,1,UNKNOWN_26
CLIENT,27,3,OPNPC3
CLIENT,28,4,UNKNOWN_28
CLIENT,29,1,UNKNOWN_29
CLIENT,30,18,UNKNOWN_30
CLIENT,31,9,IF_BUTTON9
CLIENT,32,2,UNKNOWN_32
CLIENT,33,-1,EVENT_MOUSE_MOVE
