kind	subject	old	note
MISSING	jag::Client::MainLogic	old=0x00025870	verification failed
MISSING	std::exception::vftable_meta_ptr	old=0x007f2f50	no matching signature
AMBIGUOUS	std::length_error::vftable_meta_ptr	old=0x007f2ff0	135 matches	candidates=0x008e5fd0,0x008e6880,0x008e68f0,0x008e6920,0x008e6950,0x008e6980,0x008e69b0,0x008e69e0,0x008e6a10,0x008e6a40,0x008e6a70,0x008e6aa0,0x008e6ad0,0x008e6b00,0x008e6b30,0x008e6b60,0x008e6b90,0x008e6bc0,0x008e6bf0,0x008e6c20,0x008e6c50,0x008e6c80,0x008e6f90,0x008e6fc0,0x008e7070,0x008e7160,0x008e7190,0x008e71c0,0x008e71f0,0x008e7220,0x008e7250,0x008e7280,0x008e72b0,0x008e7380,0x008e8650,0x008e8680,0x008e86b0,0x008e8720,0x008e8a10,0x008e98e0,0x008e9910,0x008e9940,0x008e9970,0x008e99a0,0x008e99d0,0x008e9a00,0x008e9a30,0x008e9a60,0x008e9a90,0x008e9ac0,0x008e9af0,0x008e9b20,0x008e9b50,0x008e9b80,0x008e9bb0,0x008e9be0,0x008e9c10,0x008e9c40,0x008e9c70,0x008e9ca0,0x008e9cd0,0x008e9d00,0x008e9d30,0x008e9d60,0x008e9d90,0x008ea020,0x008ea050,0x008ea080,0x008ea300,0x008ea330,0x008ea3d0,0x008ea400,0x008ee470,0x008ee4a0,0x008ee4d0,0x008ee500,0x008ee5e0,0x008ee7b0,0x008ee7e0,0x008ee970,0x008ee9a0,0x008ee9d0,0x008eeb60,0x008eeb90,0x008eecd0,0x008eed00,0x008eed30,0x008eed60,0x008eed90,0x008eee40,0x008eef20,0x008ef0e0,0x008ef170,0x008ef1a0,0x008ef1d0,0x008ef280,0x008ef370,0x008ef3a0,0x008ef3f0,0x008ef420,0x008ef450,0x008ef4b0,0x008efa50,0x008efa80,0x008efab0,0x008efc70,0x008efca0,0x008efcd0,0x008efd00,0x008efd30,0x008efd60,0x008efd90,0x008eff70,0x008effa0,0x008f01f0,0x008f0220,0x008f0420,0x008f0450,0x008f06d0,0x008f0700,0x008f0730,0x008f0ca0,0x008f0cd0,0x008f0d00,0x008f0da0,0x008f0dd0,0x008f0f00,0x008f11a0,0x008f11d0,0x008f1610,0x008f1640,0x008f1960,0x008f1990,0x008f19c0,0x008f19f0
AMBIGUOUS	std::runtime_error::vftable_meta_ptr	old=0x007f3020	135 matches	candidates=0x008e5fd0,0x008e6880,0x008e68f0,0x008e6920,0x008e6950,0x008e6980,0x008e69b0,0x008e69e0,0x008e6a10,0x008e6a40,0x008e6a70,0x008e6aa0,0x008e6ad0,0x008e6b00,0x008e6b30,0x008e6b60,0x008e6b90,0x008e6bc0,0x008e6bf0,0x008e6c20,0x008e6c50,0x008e6c80,0x008e6f90,0x008e6fc0,0x008e7070,0x008e7160,0x008e7190,0x008e71c0,0x008e71f0,0x008e7220,0x008e7250,0x008e7280,0x008e72b0,0x008e7380,0x008e8650,0x008e8680,0x008e86b0,0x008e8720,0x008e8a10,0x008e98e0,0x008e9910,0x008e9940,0x008e9970,0x008e99a0,0x008e99d0,0x008e9a00,0x008e9a30,0x008e9a60,0x008e9a90,0x008e9ac0,0x008e9af0,0x008e9b20,0x008e9b50,0x008e9b80,0x008e9bb0,0x008e9be0,0x008e9c10,0x008e9c40,0x008e9c70,0x008e9ca0,0x008e9cd0,0x008e9d00,0x008e9d30,0x008e9d60,0x008e9d90,0x008ea020,0x008ea050,0x008ea080,0x008ea300,0x008ea330,0x008ea3d0,0x008ea400,0x008ee470,0x008ee4a0,0x008ee4d0,0x008ee500,0x008ee5e0,0x008ee7b0,0x008ee7e0,0x008ee970,0x008ee9a0,0x008ee9d0,0x008eeb60,0x008eeb90,0x008eecd0,0x008eed00,0x008eed30,0x008eed60,0x008eed90,0x008eee40,0x008eef20,0x008ef0e0,0x008ef170,0x008ef1a0,0x008ef1d0,0x008ef280,0x008ef370,0x008ef3a0,0x008ef3f0,0x008ef420,0x008ef450,0x008ef4b0,0x008efa50,0x008efa80,0x008efab0,0x008efc70,0x008efca0,0x008efcd0,0x008efd00,0x008efd30,0x008efd60,0x008efd90,0x008eff70,0x008effa0,0x008f01f0,0x008f0220,0x008f0420,0x008f0450,0x008f06d0,0x008f0700,0x008f0730,0x008f0ca0,0x008f0cd0,0x008f0d00,0x008f0da0,0x008f0dd0,0x008f0f00,0x008f11a0,0x008f11d0,0x008f1610,0x008f1640,0x008f1960,0x008f1990,0x008f19c0,0x008f19f0
AMBIGUOUS	std::_Generic_error_category::vftable_meta_ptr	old=0x007f3700	162 matches	candidates=0x008e5aa0,0x008e5af0,0x008e5bb0,0x008e5c00,0x008e6250,0x008e62a0,0x008e62f0,0x008e6340,0x008e6390,0x008e63e0,0x008e6430,0x008e6480,0x008e64d0,0x008e6520,0x008e6570,0x008e65c0,0x008e6610,0x008e6660,0x008e66b0,0x008e6740,0x008e6790,0x008e67e0,0x008e6830,0x008e6e10,0x008e6e60,0x008e6eb0,0x008e6f40,0x008e7000,0x008e70b0,0x008e7110,0x008e72e0,0x008e73b0,0x008e7400,0x008e84e0,0x008e8560,0x008e85b0,0x008e8600,0x008e8860,0x008e8970,0x008e89c0,0x008e8a40,0x008e8a90,0x008e8bf0,0x008e8c40,0x008e8de0,0x008e8e50,0x008e8fd0,0x008e9020,0x008e9070,0x008e90c0,0x008e9110,0x008e9160,0x008e91b0,0x008e9200,0x008e9250,0x008e92a0,0x008e92f0,0x008e9340,0x008e9390,0x008e93e0,0x008e9430,0x008e9480,0x008e94d0,0x008e9520,0x008e9570,0x008e95c0,0x008e9610,0x008e9660,0x008e96b0,0x008e9700,0x008e9750,0x008e97a0,0x008e97f0,0x008e9840,0x008e9890,0x008e9ee0,0x008e9f30,0x008e9f80,0x008e9fd0,0x008ea0e0,0x008ea130,0x008ea2b0,0x008ea380,0x008ee100,0x008ee150,0x008ee1e0,0x008ee230,0x008ee280,0x008ee300,0x008ee3d0,0x008ee420,0x008ee570,0x008ee620,0x008ee670,0x008ee6c0,0x008ee710,0x008ee760,0x008ee840,0x008ee8b0,0x008ee920,0x008eea20,0x008eea70,0x008eeac0,0x008eeb10,0x008eebe0,0x008eec30,0x008eec80,0x008eedf0,0x008eee80,0x008eeed0,0x008eef60,0x008eefb0,0x008ef000,0x008ef050,0x008ef120,0x008ef230,0x008ef2d0,0x008ef320,0x008ef510,0x008ef580,0x008ef5f0,0x008ef750,0x008ef7a0,0x008ef7f0,0x008ef840,0x008ef890,0x008ef8e0,0x008ef930,0x008ef980,0x008efb80,0x008efbd0,0x008efc20,0x008efe30,0x008efe80,0x008eff20,0x008efff0,0x008f0040,0x008f0090,0x008f0140,0x008f0190,0x008f0270,0x008f0320,0x008f03d0,0x008f05c0,0x008f0610,0x008f0bb0,0x008f0c00,0x008f0c50,0x008f0d50,0x008f0e10,0x008f0e60,0x008f0eb0,0x008f0f40,0x008f0f90,0x008f1100,0x008f1150,0x008f1210,0x008f12a0,0x008f14d0,0x008f1540,0x008f1590,0x008f1910
AMBIGUOUS	_anon_6E02EFE5::_ExceptionPtr_static<class_std::bad_exception>::vftable	old=0x007f4640	26 matches	candidates=0x00009ef0,0x00010310,0x00010460,0x0001ab10,0x0001acd4,0x0001ad94,0x008e6040,0x008e6060,0x008e6080,0x008e60a0,0x008e60c0,0x008e8e30,0x008ea210,0x008ea230,0x008ea250,0x008ea270,0x008ea290,0x008ee1a0,0x008ee5c0,0x008ef0a0,0x008ef0c0,0x008ef4f0,0x008f1bb0,0x008f1bd0,0x008f1bf0,0x008f1c70
ANCHOR	OGlobal.CLIENT	old=0x1678620	anchor-not-located
ANCHOR	ONPC.CURRENT_HP	old=0x112C	anchor-not-located
ANCHOR	OWorld.HEIGHT_MAP	old=0x14058	recipe-error: back_scan not found for jag::game::HeightMap::GetFineHeight
ANCHOR	OMapSquare.COMPOSITE_DATA.msvc	old=0x70	anchor-not-located
